E人E本 1 0.0005%
E派 34 0.0182%
HTC 2682 1.4323%
LG 763 0.4075%
LOGO 58 0.031%
Lovme 32 0.0171%
MIL 2 0.0011%
OPPO 14289 7.6312%
PPTV 5 0.0027%
SUGAR 11 0.0059%
TCL 586 0.313%
ZOYE 1 0.0005%
ZUK 153 0.0817%
vivo 14395 7.6878%
一加 438 0.2339%
三星 34286 18.3108%
世纪天元 5 0.0027%
世纪星 2 0.0011%
中兴 2096 1.1194%
中国移动 671 0.3584%
丰米 3 0.0016%
乐视 1930 1.0307%
乡米 19 0.0101%
亚马逊 1 0.0005%
亿通 61 0.0326%
优米 492 0.2628%
优语 5 0.0027%
优购 52 0.0278%
先锋 14 0.0075%
凯利通 2 0.0011%
努比亚 1144 0.611%
华为 32564 17.3911%
华硕 141 0.0753%
原点 2 0.0011%
台电 12 0.0064%
唯比 4 0.0021%
唯米 28 0.015%
嘉源 1 0.0005%
基伍 21 0.0112%
夏新 52 0.0278%
大Q 9 0.0048%
大可乐 20 0.0107%
大显 3 0.0016%
天宏时代 4 0.0021%
天语 376 0.2008%
奇酷 378 0.2019%
奥克斯 9 0.0048%
宏碁 1 0.0005%
宝捷讯 4 0.0021%
富可视 108 0.0577%
小杨树 29 0.0155%
小米 43210 23.0767%
尼比鲁 57 0.0304%
帷幄 1 0.0005%
广信 6 0.0032%
康佳 58 0.031%
德卡诺 1 0.0005%
德赛 9 0.0048%
恒宇丰 2 0.0011%
惠普 4 0.0021%
戴尔 2 0.0011%
摩乐 5 0.0027%
摩托罗拉 228 0.1218%
斐讯 18 0.0096%
昂达 16 0.0085%
易派 27 0.0144%
普耐尔 6 0.0032%
智镁 5 0.0027%
本为 4 0.0021%
朵唯 544 0.2905%
极米 1 0.0005%
果米 19 0.0101%
梦米 105 0.0561%
欧乐迪 5 0.0027%
欧乐酷 1 0.0005%
欧博信 59 0.0315%
欧奇 17 0.0091%
欧新 25 0.0134%
欧比 11 0.0059%
欧沃 6 0.0032%
沃普丰 20 0.0107%
波导 83 0.0443%
海信 489 0.2612%
海尔 49 0.0262%
爱派尔 100 0.0534%
瑞米 9 0.0048%
瑞高 1 0.0005%
白米 9 0.0048%
百加 20 0.0107%
百立丰 60 0.032%
碟米 1 0.0005%
神舟 24 0.0128%
米奇 20 0.0107%
米歌 74 0.0395%
糖葫芦 16 0.0085%
糯米 28 0.015%
索尼 1821 0.9725%
纽曼 77 0.0411%
维图 42 0.0224%
美图 151 0.0806%
聆韵 40 0.0214%
联想 6761 3.6108%
至尊宝 31 0.0166%
艾优尼 109 0.0582%
蓝魔 9 0.0048%
虾米 9 0.0048%
西米 20 0.0107%
西门子 1 0.0005%
语信 396 0.2115%
诺亚信 25 0.0134%
诺基亚 69 0.0369%
谷歌 16 0.0085%
贝尔丰 60 0.032%
赛博宇华 2 0.0011%
邦华 36 0.0192%
酷比 165 0.0881%
酷比魔方 152 0.0812%
酷派 8407 4.4898%
酷珀 52 0.0278%
金星数码 7 0.0037%
金立 2768 1.4783%
锤子 535 0.2857%
长虹 18 0.0096%
青橙 38 0.0203%
青葱 17 0.0091%
飞利浦 6 0.0032%
飞秒 2 0.0011%
首云 7 0.0037%
魅族 11853 6.3302%
鲜米 3 0.0016%
黑米 86 0.0459%
