1:M 1
6:M 4
10:F 2
10:M 3
11:F 4
12:F 5
12:M 9
13:F 5
13:M 10
14:F 14
14:M 21
15:F 10
15:M 55
16:F 40
16:M 122
17:F 116
17:M 285
18:F 185
18:M 573
19:F 535
19:M 1077
20:F 849
20:M 1500
21:F 1099
21:M 1895
22:F 1085
22:M 1933
23:F 1101
23:M 2014
24:F 1220
24:M 2281
25:F 1350
25:M 2390
26:F 1620
26:M 2920
27:F 1623
27:M 2853
28:F 1495
28:M 2592
29:F 1555
29:M 2788
30:F 1223
30:M 2507
31:F 982
31:M 2014
32:F 868
32:M 1773
33:F 855
33:M 1626
34:F 864
34:M 1722
35:F 675
35:M 1339
36:F 533
36:M 1069
37:F 557
37:M 1064
38:F 474
38:M 883
39:F 432
39:M 815
40:F 425
40:M 745
41:F 374
41:M 652
42:F 372
42:M 657
43:F 387
43:M 602
44:F 348
44:M 574
45:F 314
45:M 553
46:F 382
46:M 555
47:F 254
47:M 411
48:F 268
48:M 387
49:F 197
49:M 261
50:F 195
50:M 266
51:F 181
51:M 235
52:F 154
52:M 227
53:F 208
53:M 241
54:F 184
54:M 174
55:F 74
55:M 86
56:F 102
56:M 111
57:F 71
57:M 71
58:F 67
58:M 75
59:F 81
59:M 92
60:F 79
60:M 111
61:F 73
61:M 99
62:F 98
62:M 88
63:F 76
63:M 85
64:F 57
64:M 63
65:F 37
65:M 40
66:F 49
66:M 39
67:F 38
67:M 35
68:F 50
68:M 35
69:F 27
69:M 34
70:F 17
70:M 13
71:F 23
71:M 23
72:F 11
72:M 25
73:F 7
73:M 11
74:F 18
74:M 9
75:F 9
75:M 14
76:F 11
76:M 15
77:F 6
77:M 7
78:F 9
78:M 4
79:F 8
79:M 5
80:F 5
80:M 9
81:F 1
81:M 9
82:F 1
82:M 1
83:F 7
83:M 4
84:F 1
84:M 1
85:M 3
86:F 1
86:M 3
87:M 3
88:F 3
88:M 2
89:F 3
90:M 1
94:F 1
96:F 1
