1 1
6 4
10 5
11 4
12 14
13 15
14 35
15 65
16 162
17 401
18 758
19 1612
20 2349
21 2994
22 3018
23 3115
24 3501
25 3740
26 4540
27 4476
28 4087
29 4343
30 3730
31 2996
32 2641
33 2481
34 2586
35 2014
36 1602
37 1621
38 1357
39 1247
40 1170
41 1026
42 1029
43 989
44 922
45 867
46 937
47 665
48 655
49 458
50 461
51 416
52 381
53 449
54 358
55 160
56 213
57 142
58 142
59 173
60 190
61 172
62 186
63 161
64 120
65 77
66 88
67 73
68 85
69 61
70 30
71 46
72 36
73 18
74 27
75 23
76 26
77 13
78 13
79 13
80 14
81 10
82 2
83 11
84 2
85 3
86 4
87 3
88 5
89 3
90 1
94 1
96 1
